etudeNumero,Echantillon Numero,Espece,Ile,ID Individu,Longueur Bec (mm),Hauteur Bec (mm),Longueur Aile (mm),Masse corporelle (g)
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A1,39.1,18.7,181,3750
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A2,39.5,17.4,186,3800
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A1,40.3,18,195,3250
PAL0708,4,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A2,NA,NA,NA,NA
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A1,36.7,19.3,193,3450
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A2,39.3,20.6,190,3650
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A1,38.9,17.8,181,3625
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A2,39.2,19.6,195,4675
PAL0708,9,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A1,34.1,18.1,193,3475
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A2,42,20.2,190,4250
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A1,37.8,17.1,186,3300
PAL0708,12,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A2,37.8,17.3,180,3700
PAL0708,13,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A1,41.1,17.6,182,3200
PAL0708,14,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A2,38.6,21.2,191,3800
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A1,34.6,21.1,198,4400
PAL0708,16,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A2,36.6,17.8,185,3700
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A1,38.7,19,195,3450
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A2,42.5,20.7,197,4500
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A1,34.4,18.4,184,3325
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A2,46,21.5,194,4200
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A1,37.8,18.3,174,3400
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A2,37.7,18.7,180,3600
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A1,35.9,19.2,189,3800
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A2,38.2,18.1,185,3950
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A1,38.8,17.2,180,3800
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A2,35.3,18.9,187,3800
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A1,40.6,18.6,183,3550
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A2,40.5,17.9,187,3200
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A1,37.9,18.6,172,3150
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A2,40.5,18.9,180,3950
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Dream,N21A1,39.5,16.7,178,3250
